00	06	19.8808225348	1013.3834856	38.8334112374
00	16	19.8657329107	1013.35776236	38.7726431473
00	26	19.840583543	1013.36884002	38.7947086588
00	36	19.820464054	1013.36151544	39.0210941723
00	46	19.8154341825	1013.37991416	38.9272133561
00	56	19.7953146994	1013.23772493	38.8885335853
01	06	19.775195221	1013.17645827	38.8001616433
01	16	19.734956278	1013.13484135	38.7669905622
01	26	19.7248965452	1013.09072529	38.6123848277
01	36	19.6947173537	1013.12019115	38.5350693147
01	46	19.6595083102	1013.11410991	38.4522396947
01	56	19.6494485861	1013.1508945	38.2866110779
02	06	19.604179842	1013.10069269	38.3031735407
02	16	19.5840604078	1013.09335996	38.2976529611
02	26	19.5689708352	1013.06763775	38.1486107906
02	36	19.5488514091	1013.00638042	38.2314152095
02	46	19.5186722788	1012.98189944	38.3307670129
02	56	19.4985528643	1012.94760513	38.1431129126
03	06	19.4532841989	1012.97827447	38.1431262366
03	16	19.4281349505	1012.96236082	38.0548371233
03	26	19.4180752532	1012.9721685	38.0989892528
03	36	19.3778364755	1012.95748365	38.0548605579
03	46	19.3476574045	1012.95994325	38.0328037709
03	56	19.317478344	1013.01630182	37.9721284015
04	06	19.2822694533	1013.01017523	37.9445654236
04	16	19.2520904155	1012.95872269	37.9832011216
04	26	19.2219113881	1012.79948253	37.9942503507
04	36	19.1917323712	1012.88276747	37.8177585413
04	46	19.1665831985	1012.70516857	37.8232972722
04	56	19.1414340331	1012.71618729	37.8067736011
05	06	19.1112550441	1012.74557053	37.751650743
05	16	19.0810760657	1012.61330118	38.0163787875
05	26	19.0659865804	1012.58758047	37.757211948
05	36	19.0508970977	1012.45410186	37.922653476
05	46	19.0257479657	1012.4381782	37.8785587657
05	56	19.0056286654	1012.4038883	37.9723027709
06	06	18.9955690169	1012.46755486	37.7352273868
06	16	18.9653900786	1012.63160429	37.7352583551
06	26	18.9352111508	1012.66096126	37.845545857
06	36	18.9150918714	1012.7882641	37.9447846671
06	46	18.8949725967	1012.88862435	37.9613313953
06	56	18.8849129611	1012.87147	38.0164551594
07	06	18.8597638771	1012.90937921	37.685755674
07	16	18.8245551718	1012.9031966	37.5700476895
